,codigoSerial,pm25,calidad_pm25,pm10,calidad_pm10,pm1,calidad_pm1,no,calidad_no,no2,calidad_no2,nox,calidad_nox,ozono,calidad_ozono,co,calidad_co,so2,calidad_so2,pst,calidad_pst,dviento_ssr,calidad_dviento_ssr,haire10_ssr,calidad_haire10_ssr,p_ssr,calidad_p_ssr,pliquida_ssr,calidad_pliquida_ssr,rglobal_ssr,calidad_rglobal_ssr,taire10_ssr,calidad_taire10_ssr,vviento_ssr,calidad_vviento_ssr
2016-02-01 00:00:00,28,27.0,-1.0,-9999.0,1.0,-9999.0,1.0,0.0,-1.0,2.0,-1.0,3.0,-1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,339.196,1.0,68.6986,1.0,636.375,1.0,-9999.0,1.0,0.0,1.0,20.7628,1.0,1.83235,1.0
2016-02-01 01:00:00,28,23.0,-1.0,-9999.0,1.0,-9999.0,1.0,0.0,-1.0,1.0,-1.0,1.0,-1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,353.2,-1.0,69.6,-1.0,636.209,-1.0,-9999.0,1.0,0.0,-1.0,20.38,-1.0,0.8,-1.0
2016-02-01 02:00:00,28,28.0,-1.0,-9999.0,1.0,-9999.0,1.0,0.0,-1.0,2.0,-1.0,2.0,-1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,333.1,-1.0,69.8,-1.0,635.684,-1.0,-9999.0,1.0,0.0,-1.0,20.18,-1.0,0.9,-1.0
2016-02-01 03:00:00,28,27.0,-1.0,-9999.0,1.0,-9999.0,1.0,0.0,-1.0,4.0,-1.0,4.0,-1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,333.6,-1.0,71.1,-1.0,635.309,-1.0,-9999.0,1.0,0.0,-1.0,20.05,-1.0,1.1,-1.0
2016-02-01 04:00:00,28,34.0,-1.0,-9999.0,1.0,-9999.0,1.0,0.0,-1.0,3.0,-1.0,3.0,-1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,338.1,-1.0,72.7,-1.0,635.309,-1.0,-9999.0,1.0,0.0,-1.0,19.62,-1.0,1.2,-1.0
2016-02-01 05:00:00,28,34.0,-1.0,-9999.0,1.0,-9999.0,1.0,0.0,-1.0,3.0,-1.0,3.0,-1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,327.0,-1.0,75.1,-1.0,635.384,-1.0,-9999.0,1.0,0.0,-1.0,19.23,-1.0,1.0,-1.0
2016-02-01 06:00:00,28,41.0,-1.0,-9999.0,1.0,-9999.0,1.0,8.0,-1.0,12.0,-1.0,19.0,-1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,329.5,-1.0,75.4,-1.0,635.684,-1.0,-9999.0,1.0,0.0,-1.0,19.25,-1.0,0.8,-1.0
2016-02-01 07:00:00,28,48.0,-1.0,-9999.0,1.0,-9999.0,1.0,28.0,-1.0,17.0,-1.0,45.0,-1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,330.9,-1.0,74.8,-1.0,636.134,-1.0,-9999.0,1.0,7.0,-1.0,19.38,-1.0,0.9,-1.0
2016-02-01 08:00:00,28,-9964.0,4.1964,-9999.0,1.0,-9999.0,1.0,29.0,-1.0,20.0,-1.0,48.0,-1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,353.1,-1.0,71.9,-1.0,636.509,-1.0,-9999.0,1.0,65.0,-1.0,20.08,-1.0,0.7,-1.0
2016-02-01 09:00:00,28,38.0,-1.0,-9999.0,1.0,-9999.0,1.0,16.0,-1.0,21.0,-1.0,37.0,-1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,6.2,-1.0,64.9,-1.0,636.809,-1.0,-9999.0,1.0,188.0,-1.0,21.5,-1.0,1.0,-1.0
2016-02-01 10:00:00,28,36.0,-1.0,-9999.0,1.0,-9999.0,1.0,7.0,-1.0,17.0,-1.0,24.0,-1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,354.2,-1.0,57.1,-1.0,636.809,-1.0,-9999.0,1.0,247.0,-1.0,22.92,-1.0,1.0,-1.0
2016-02-01 11:00:00,28,39.0,-1.0,-9999.0,1.0,-9999.0,1.0,3.0,-1.0,13.0,-1.0,16.0,-1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,337.2,-1.0,50.2,-1.0,636.434,-1.0,-9999.0,1.0,330.0,-1.0,24.21,-1.0,0.9,-1.0
2016-02-01 12:00:00,28,34.0,-1.0,-9999.0,1.0,-9999.0,1.0,2.0,-1.0,14.0,-1.0,16.0,-1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,347.0,-1.0,43.5,-1.0,635.684,-1.0,-9999.0,1.0,532.0,-1.0,26.25,-1.0,1.2,-1.0
2016-02-01 13:00:00,28,30.0,-1.0,-9999.0,1.0,-9999.0,1.0,1.0,-1.0,7.0,-1.0,8.0,-1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,351.4,-1.0,37.8,-1.0,634.934,-1.0,-9999.0,1.0,551.0,-1.0,27.71,-1.0,1.4,-1.0
2016-02-01 14:00:00,28,31.0,-1.0,-9999.0,1.0,-9999.0,1.0,0.0,-1.0,5.0,-1.0,6.0,-1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,345.2,-1.0,34.8,-1.0,634.109,-1.0,-9999.0,1.0,478.0,-1.0,28.35,-1.0,1.0,-1.0
2016-02-01 15:00:00,28,45.0,-1.0,-9999.0,1.0,-9999.0,1.0,1.0,-1.0,5.0,-1.0,6.0,-1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,341.6,-1.0,32.1,-1.0,633.433,-1.0,-9999.0,1.0,476.0,-1.0,29.32,-1.0,0.8,-1.0
2016-02-01 16:00:00,28,34.0,-1.0,-9999.0,1.0,-9999.0,1.0,1.0,-1.0,9.0,-1.0,10.0,-1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,337.7,-1.0,31.2,-1.0,633.058,-1.0,-9999.0,1.0,226.0,-1.0,29.32,-1.0,1.5,-1.0
2016-02-01 17:00:00,28,27.0,-1.0,-9999.0,1.0,-9999.0,1.0,2.0,-1.0,11.0,-1.0,13.0,-1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,342.2,-1.0,29.9,-1.0,633.058,-1.0,-9999.0,1.0,109.0,-1.0,28.84,-1.0,2.3,-1.0
