Fecha_Hora,codigoSerial,pm25,calidad_pm25,pm10,calidad_pm10,pm1,calidad_pm1,no,calidad_no,no2,calidad_no2,nox,calidad_nox,ozono,calidad_ozono,co,calidad_co,so2,calidad_so2,pst,calidad_pst,dviento_ssr,calidad_dviento_ssr,haire10_ssr,calidad_haire10_ssr,p_ssr,calidad_p_ssr,pliquida_ssr,calidad_pliquida_ssr,rglobal_ssr,calidad_rglobal_ssr,taire10_ssr,calidad_taire10_ssr,vviento_ssr,calidad_vviento_ssr
2022-02-01 00:00:00,6,-9999.0,1.0,50.0,1.0,-9999.0,1.0,12.9032,1.0,16.4307,1.0,29.3339,1.0,-9999.0,1.0,0.507433,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0
2022-02-01 01:00:00,6,-9999.0,1.0,30.0,1.0,-9999.0,1.0,14.1379,1.0,16.4454,1.0,30.5833,1.0,-9999.0,1.0,0.438667,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0
2022-02-01 02:00:00,6,-9999.0,1.0,34.0,1.0,-9999.0,1.0,14.952,1.0,16.3253,1.0,31.2774,1.0,-9999.0,1.0,0.201034,2.1,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0
2022-02-01 03:00:00,6,-9999.0,1.0,32.0,1.0,-9999.0,1.0,9.6376,1.0,12.8095,1.0,22.4471,1.0,-9999.0,1.0,0.108033,2.1,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0
2022-02-01 04:00:00,6,-9999.0,1.0,6.0,1.0,-9999.0,1.0,18.4219,1.0,13.7108,1.0,32.1327,1.0,-9999.0,1.0,0.13175,2.1,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0
2022-02-01 05:00:00,6,-9999.0,1.0,35.0,1.0,-9999.0,1.0,40.8384,1.0,16.9216,1.0,57.76,1.0,-9999.0,1.0,0.4148,2.1,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0
2022-02-01 06:00:00,6,-9999.0,1.0,46.0,1.0,-9999.0,1.0,70.9287,1.0,21.0396,1.0,91.9683,1.0,-9999.0,1.0,1.3413,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0
2022-02-01 07:00:00,6,-9999.0,1.0,35.0,1.0,-9999.0,1.0,69.4763,1.0,18.7126,1.0,88.1889,1.0,-9999.0,1.0,1.29319,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0
2022-02-01 08:00:00,6,-9999.0,1.0,79.0,1.0,-9999.0,1.0,129.129,2.2,27.9276,1.0,157.056,1.0,-9999.0,1.0,2.80798,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0
2022-02-01 09:00:00,6,-9999.0,1.0,61.0,1.0,-9999.0,1.0,93.2151,1.0,32.6831,1.0,125.898,1.0,-9999.0,1.0,1.84328,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0
2022-02-01 10:00:00,6,-9999.0,1.0,39.0,1.0,-9999.0,1.0,46.5116,1.0,31.761,1.0,78.2726,1.0,-9999.0,1.0,1.0604,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0
2022-02-01 11:00:00,6,-9999.0,1.0,42.0,1.0,-9999.0,1.0,13.7448,1.0,21.9259,1.0,35.6707,1.0,-9999.0,1.0,0.492867,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0
2022-02-01 12:00:00,6,-9999.0,1.0,58.0,1.0,-9999.0,1.0,16.7989,1.0,23.68,1.0,40.4789,1.0,-9999.0,1.0,0.647633,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0
2022-02-01 13:00:00,6,-9999.0,1.0,59.0,1.0,-9999.0,1.0,36.9893,1.0,48.1423,1.0,85.1315,1.0,-9999.0,1.0,1.16613,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0
2022-02-01 14:00:00,6,-9999.0,1.0,57.0,1.0,-9999.0,1.0,34.3658,1.0,40.6423,1.0,75.0081,1.0,-9999.0,1.0,1.14122,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0
2022-02-01 15:00:00,6,-9999.0,1.0,45.0,1.0,-9999.0,1.0,25.1217,1.0,52.1656,1.0,77.2873,1.0,-9999.0,1.0,1.51893,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0
2022-02-01 16:00:00,6,-9999.0,1.0,54.0,1.0,-9999.0,1.0,46.1435,1.0,61.0376,2.3,107.181,1.0,-9999.0,1.0,1.93455,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0
