,codigoSerial,pm25,calidad_pm25,pm10,calidad_pm10,pm1,calidad_pm1,no,calidad_no,no2,calidad_no2,nox,calidad_nox,ozono,calidad_ozono,co,calidad_co,so2,calidad_so2,pst,calidad_pst,dviento_ssr,calidad_dviento_ssr,haire10_ssr,calidad_haire10_ssr,p_ssr,calidad_p_ssr,pliquida_ssr,calidad_pliquida_ssr,rglobal_ssr,calidad_rglobal_ssr,taire10_ssr,calidad_taire10_ssr,vviento_ssr,calidad_vviento_ssr
2018-01-01 00:00:00,6,-9999.0,1.0,32.0,1.0,20.0625,1.0,42.9558,1.0,9.20556,1.0,52.1601,1.0,-9999.0,1.0,1.46318,1.0,-9999.0,1.0,-9999.0,1.0,0.0,3.0,16.7971,3.1,638.465,1.0,-9999.0,4.31,0.0,1.0,26.1813,3.1,0.0,3.0
2018-01-01 01:00:00,6,-9999.0,1.0,27.007,1.0,20.9791,1.0,19.0039,1.0,10.4193,1.0,29.4215,1.0,-9999.0,1.0,1.10643,1.0,-9999.0,1.0,-9999.0,1.0,0.0,3.0,16.7464,3.1,638.101,1.0,-9999.0,4.31,0.0,1.0,26.1561,3.1,0.0,3.0
2018-01-01 02:00:00,6,-9999.0,1.0,38.0,1.0,18.0625,1.0,17.6922,1.0,13.8006,1.0,31.4893,1.0,-9999.0,1.0,1.36535,1.0,-9999.0,1.0,-9999.0,1.0,3.6918,3.1,16.7532,3.1,637.694,1.0,-9999.0,4.31,0.0,1.0,26.1593,3.1,0.0043935,3.1
2018-01-01 03:00:00,6,-9999.0,1.0,74.0,1.0,51.2916,2.2,31.3664,1.0,14.5683,1.0,45.9322,1.0,-9999.0,1.0,1.62391,1.0,-9999.0,1.0,-9999.0,1.0,5.98885,3.1,16.7992,3.1,637.483,1.0,-9999.0,4.31,0.0,1.0,26.1871,3.1,0.0054347,3.1
2018-01-01 04:00:00,6,-9999.0,1.0,49.0,1.0,39.2708,1.0,44.5901,1.0,12.9178,1.0,57.5101,1.0,-9999.0,1.0,2.01542,2.1,-9999.0,1.0,-9999.0,1.0,0.0,3.1,16.7285,3.1,637.172,1.0,-9999.0,4.31,0.0,1.0,26.1502,3.1,0.0,3.1
2018-01-01 05:00:00,6,-9999.0,1.0,89.0,2.1,54.6666,2.2,34.6993,1.0,9.79264,1.0,44.4915,1.0,-9999.0,1.0,1.50202,1.0,-9999.0,1.0,-9999.0,1.0,0.0,3.0,16.7047,3.1,637.263,1.0,-9999.0,4.31,0.0,1.0,26.1193,3.1,0.0,3.0
2018-01-01 06:00:00,6,-9999.0,1.0,48.0,1.0,29.5416,1.0,24.4142,1.0,8.92722,1.0,33.3462,1.0,-9999.0,1.0,1.09244,1.0,-9999.0,1.0,-9999.0,1.0,0.0,3.0,16.6931,3.1,637.678,1.0,-9999.0,4.31,0.0,1.0,26.0458,3.1,0.0,3.0
2018-01-01 07:00:00,6,-9999.0,1.0,30.0,1.0,14.3125,1.0,47.7021,1.0,9.68361,1.0,57.3928,1.0,-9999.0,1.0,1.47114,1.0,-9999.0,1.0,-9999.0,1.0,0.0,3.0,16.6989,3.1,638.011,1.0,-9999.0,4.31,0.05425,1.0,26.0458,3.1,0.0,3.0
2018-01-01 08:00:00,6,-9999.0,1.0,36.0,1.0,21.8333,1.0,31.8765,1.0,9.53472,1.0,41.4244,1.0,-9999.0,1.0,1.22735,1.0,-9999.0,1.0,-9999.0,1.0,7.95045,3.1,16.7049,3.1,638.52,1.0,-9999.0,4.31,178.263,1.0,26.0862,3.1,0.0119861,3.1
2018-01-01 09:00:00,6,-9999.0,1.0,45.0,1.0,6.3333,1.0,13.1183,1.0,10.9492,1.0,24.0714,1.0,-9999.0,1.0,1.01619,1.0,-9999.0,1.0,-9999.0,1.0,7.89177,3.1,16.8929,3.1,638.774,1.0,-9999.0,4.31,556.657,1.0,26.3552,3.1,0.0087078,3.1
2018-01-01 10:00:00,6,-9999.0,1.0,41.0,1.0,8.9375,1.0,7.66347,1.0,10.7424,1.0,18.4057,1.0,-9999.0,1.0,0.934202,1.0,-9999.0,1.0,-9999.0,1.0,5.74088,3.1,17.3407,3.1,638.931,1.0,-9999.0,4.31,633.409,1.0,-9999.0,4.31,0.104776,3.1
2018-01-01 11:00:00,6,-9999.0,1.0,44.9944,1.0,28.5833,1.0,5.73903,1.0,12.2037,1.0,17.9485,1.0,-9999.0,1.0,0.942615,1.0,-9999.0,1.0,-9999.0,1.0,5.68698,3.1,18.0233,3.1,638.525,1.0,-9999.0,4.31,741.34,1.0,27.6313,3.1,0.0433645,3.1
2018-01-01 12:00:00,6,-9999.0,1.0,43.0,1.0,11.375,1.0,4.90875,1.0,9.43375,1.0,14.3458,1.0,-9999.0,1.0,0.831361,1.0,-9999.0,1.0,-9999.0,1.0,7.11708,3.1,18.0429,3.1,637.87,1.0,-9999.0,4.31,552.764,1.0,27.6122,3.1,0.0283543,3.1
2018-01-01 13:00:00,6,-9999.0,1.0,28.0,1.0,10.0208,1.0,3.8257,1.0,5.28139,2.1,9.10264,1.0,-9999.0,1.0,0.720814,1.0,-9999.0,1.0,-9999.0,1.0,8.03217,3.1,18.2862,3.1,637.011,1.0,-9999.0,4.31,665.196,1.0,27.891,3.1,0.0548047,3.1
2018-01-01 14:00:00,6,-9999.0,1.0,20.0,1.0,16.8541,1.0,6.21153,1.0,10.8543,1.0,17.0697,1.0,-9999.0,1.0,0.90659,1.0,-9999.0,1.0,-9999.0,1.0,8.61054,3.1,18.0565,3.1,636.188,1.0,-9999.0,4.31,288.679,1.0,27.589,3.1,0.084354,3.1
2018-01-01 15:00:00,6,-9999.0,1.0,21.0,1.0,8.1875,1.0,7.07778,1.0,13.5003,1.0,20.5768,1.0,-9999.0,1.0,1.016,1.0,-9999.0,1.0,-9999.0,1.0,8.61148,3.1,17.9507,3.1,635.362,1.0,-9999.0,4.31,360.993,1.0,27.4732,3.1,0.0772361,3.1
2018-01-01 16:00:00,6,-9999.0,1.0,23.0,1.0,16.8125,1.0,10.541,1.0,17.1528,1.0,27.6654,1.0,-9999.0,1.0,1.06398,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,4.31,17.6758,3.1,634.94,1.0,-9999.0,4.31,172.455,1.0,27.1463,3.1,0.104632,3.1
2018-01-01 17:00:00,6,-9999.0,1.0,18.0069,1.0,23.8541,1.0,13.4347,1.0,18.1653,1.0,31.5972,1.0,-9999.0,1.0,1.14824,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,4.31,17.1428,3.1,635.171,1.0,-9999.0,4.31,24.2915,1.0,26.5543,3.1,0.0829167,3.1
2018-01-01 18:00:00,6,-9999.0,1.0,15.0,1.0,18.125,1.0,12.45,1.0,22.7026,1.0,35.1622,1.0,-9999.0,1.0,1.18013,1.0,-9999.0,1.0,-9999.0,1.0,6.11766,3.1,16.893,3.1,635.984,1.0,-9999.0,4.31,0.0,1.0,26.3024,3.1,0.084751,3.1
2018-01-01 19:00:00,6,-9999.0,1.0,13.0,1.0,-4.5208,3.0,10.1106,1.0,23.9468,1.0,34.0536,1.0,-9999.0,1.0,1.14546,1.0,-9999.0,1.0,-9999.0,1.0,7.52952,3.1,16.7146,3.1,637.177,1.0,-9999.0,4.31,0.0,1.0,26.127,3.1,0.0177804,3.1
2018-01-01 20:00:00,6,-9999.0,1.0,11.0027,1.0,20.4583,1.0,47.2451,1.0,30.9456,1.0,78.1932,1.0,-9999.0,1.0,1.7105,1.0,-9999.0,1.0,-9999.0,1.0,0.0,3.1,16.7,3.1,637.397,1.0,-9999.0,4.31,0.0,1.0,26.081,3.1,0.0,3.1
2018-01-01 21:00:00,6,-9999.0,1.0,12.0,1.0,18.0625,1.0,54.8003,1.0,25.6996,1.0,80.4976,1.0,-9999.0,1.0,1.85036,1.0,-9999.0,1.0,-9999.0,1.0,7.93974,3.1,16.7,3.0,637.872,1.0,-9999.0,4.31,0.0,1.0,26.0797,3.1,0.0036736,3.1
2018-01-01 22:00:00,6,-9999.0,1.0,24.0,1.0,20.9375,1.0,28.3904,1.0,21.6171,1.0,50.0061,1.0,-9999.0,1.0,1.29348,1.0,-9999.0,1.0,-9999.0,1.0,7.88426,3.1,16.7,3.0,638.334,1.0,-9999.0,4.31,0.0,1.0,26.0644,3.1,0.0287773,3.1
2018-01-01 23:00:00,6,-9999.0,1.0,15.0,1.0,20.0208,1.0,29.9386,1.0,16.1486,1.0,46.0842,1.0,-9999.0,1.0,1.0727,1.0,-9999.0,1.0,-9999.0,1.0,7.92633,3.1,16.6975,3.1,638.322,1.0,-9999.0,4.31,0.0,1.0,26.0467,3.1,0.002368,3.1
2018-01-02 00:00:00,6,-9999.0,1.0,13.0,1.0,9.2291,1.0,69.5038,1.0,11.4847,1.0,80.9918,1.0,-9999.0,1.0,1.66089,1.0,-9999.0,1.0,-9999.0,1.0,0.0,3.1,16.6986,3.1,638.519,1.0,-9999.0,4.31,0.0,1.0,26.0554,3.1,0.0,3.1
2018-01-02 01:00:00,6,-9999.0,1.0,21.9872,1.0,-4.7083,3.0,36.0069,1.0,12.71,1.0,48.7179,1.0,-9999.0,1.0,1.18556,1.0,-9999.0,1.0,-9999.0,1.0,0.0,3.1,16.7,3.1,638.179,1.0,-9999.0,4.31,0.0,1.0,26.0624,3.1,0.0,3.1
2018-01-02 02:00:00,6,-9999.0,1.0,31.0,1.0,9.6875,1.0,29.3111,1.0,10.9542,1.0,40.2686,1.0,-9999.0,1.0,0.991291,1.0,-9999.0,1.0,-9999.0,1.0,7.896,3.1,16.6707,3.1,637.553,1.0,-9999.0,4.31,0.0,1.0,26.0311,3.1,8.33e-05,3.1
2018-01-02 03:00:00,6,-9999.0,1.0,6.0348,1.0,17.8333,1.0,9.14083,1.0,9.35569,1.0,18.4937,1.0,-9999.0,1.0,0.736515,1.0,-9999.0,1.0,-9999.0,1.0,7.88364,3.1,16.6019,3.1,637.08,1.0,-9999.0,4.31,0.0,1.0,25.9866,3.1,0.0055347,3.1
2018-01-02 04:00:00,6,-9999.0,1.0,7.0,1.0,-1.5833,3.0,13.5486,1.0,7.27667,1.0,20.8231,1.0,-9999.0,1.0,0.703053,1.0,-9999.0,1.0,-9999.0,1.0,7.868,3.1,16.6,3.1,636.855,1.0,-9999.0,4.31,0.0,1.0,25.9706,3.1,0.0025625,3.1
2018-01-02 05:00:00,6,-9999.0,1.0,6.0,1.0,13.6666,1.0,34.6301,1.0,6.19403,1.0,40.8253,1.0,-9999.0,1.0,0.869945,1.0,-9999.0,1.0,-9999.0,1.0,0.0,3.1,16.5956,3.1,636.877,1.0,-9999.0,4.31,0.0,1.0,25.9582,3.1,0.0,3.1
2018-01-02 06:00:00,6,-9999.0,1.0,6.0,1.0,15.9583,1.0,91.4413,1.0,10.0731,1.0,101.514,1.0,-9999.0,1.0,1.46956,1.0,-9999.0,1.0,-9999.0,1.0,0.0,3.0,16.5861,3.1,637.1,1.0,-9999.0,4.31,0.0,1.0,25.9449,3.1,0.0,3.0
2018-01-02 07:00:00,6,-9999.0,1.0,17.0,1.0,4.25,1.0,148.577,1.0,9.50208,1.0,158.078,1.0,-9999.0,1.0,1.88402,1.0,-9999.0,1.0,-9999.0,1.0,0.0,3.0,16.6271,3.1,637.546,1.0,-9999.0,4.31,20.187,1.0,25.9998,3.1,0.0,3.0
2018-01-02 08:00:00,6,-9999.0,1.0,32.0,1.0,-2.8541,3.0,81.1776,1.0,8.50597,2.1,89.6813,1.0,-9999.0,1.0,1.39806,1.0,-9999.0,1.0,-9999.0,1.0,8.06313,3.1,16.7968,3.1,637.866,1.0,-9999.0,4.31,278.913,1.0,26.2116,3.1,0.0011527,3.1
2018-01-02 09:00:00,6,-9999.0,1.0,20.0,1.0,-3.0,3.0,50.8063,1.0,15.839,1.0,66.6492,1.0,-9999.0,1.0,1.17437,1.0,-9999.0,1.0,-9999.0,1.0,0.0,3.1,16.9801,3.1,638.128,1.0,-9999.0,4.31,528.167,1.0,26.4601,3.1,0.0,3.1
2018-01-02 10:00:00,6,-9999.0,1.0,26.9902,1.0,1.8958,1.0,32.2497,1.0,17.1122,1.0,49.3597,1.0,-9999.0,1.0,1.09487,1.0,-9999.0,1.0,-9999.0,1.0,8.15629,3.1,17.4172,3.1,638.102,1.0,-9999.0,4.31,677.948,1.0,26.9524,3.1,0.021415,3.1
2018-01-02 11:00:00,6,-9999.0,1.0,29.0,1.0,8.8541,1.0,20.3432,1.0,21.0358,1.0,41.3819,1.0,-9999.0,1.0,1.02517,1.0,-9999.0,1.0,-9999.0,1.0,7.93849,3.1,17.9393,3.1,637.91,1.0,-9999.0,4.31,693.5,1.0,27.5238,3.1,0.0303535,3.1
2018-01-02 12:00:00,6,-9999.0,1.0,29.0,1.0,9.0,1.0,17.4689,1.0,24.9893,1.0,42.4678,1.0,-9999.0,1.0,1.11567,1.0,-9999.0,1.0,-9999.0,1.0,7.68563,3.1,17.9746,3.1,637.213,1.0,-9999.0,4.31,633.159,1.0,27.5418,3.1,0.0303993,3.1
2018-01-02 13:00:00,6,-9999.0,1.0,36.9887,1.0,8.0208,1.0,10.8783,1.0,18.321,1.0,29.1956,1.0,-9999.0,1.0,0.919658,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,4.31,17.9893,3.1,636.511,1.0,-9999.0,4.31,297.313,1.0,27.5142,3.1,0.0779643,3.1
2018-01-02 14:00:00,6,-9999.0,1.0,12.0,1.0,12.8958,1.0,17.3917,1.0,15.1976,1.0,32.5653,1.0,-9999.0,1.0,0.890758,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,4.31,17.4236,3.1,636.008,1.0,-9999.0,4.31,110.871,1.0,-9999.0,4.31,0.0718953,3.1
2018-01-02 15:00:00,6,-9999.0,1.0,0.0167,2.1,5.1666,1.0,18.614,1.0,10.9242,1.0,29.5443,1.0,-9999.0,1.0,0.91643,1.0,-9999.0,1.0,-9999.0,1.0,5.91817,3.1,17.4174,3.1,635.329,1.0,-9999.0,4.31,553.009,1.0,-9999.0,4.31,0.0190363,3.1
2018-01-02 16:00:00,6,-9999.0,1.0,0.0,3.0,-4.7916,3.0,18.5143,1.0,16.1012,1.0,34.6129,1.0,-9999.0,1.0,0.923177,1.0,-9999.0,1.0,-9999.0,1.0,3.73823,3.1,17.7213,3.1,634.819,1.0,-9999.0,4.31,387.441,1.0,27.2248,3.1,0.0011865,3.1
2018-01-02 17:00:00,6,-9999.0,1.0,11.9831,1.0,6.75,1.0,35.0343,1.0,31.8769,1.0,66.9136,1.0,-9999.0,1.0,1.32498,1.0,-9999.0,1.0,-9999.0,1.0,0.0,3.1,17.6472,3.1,634.734,1.0,-9999.0,4.31,124.527,1.0,27.1278,3.1,0.0,3.1
