,codigoSerial,pm25,calidad_pm25,pm10,calidad_pm10,pm1,calidad_pm1,no,calidad_no,no2,calidad_no2,nox,calidad_nox,ozono,calidad_ozono,co,calidad_co,so2,calidad_so2,pst,calidad_pst,dviento_ssr,calidad_dviento_ssr,haire10_ssr,calidad_haire10_ssr,p_ssr,calidad_p_ssr,pliquida_ssr,calidad_pliquida_ssr,rglobal_ssr,calidad_rglobal_ssr,taire10_ssr,calidad_taire10_ssr,vviento_ssr,calidad_vviento_ssr
2017-04-01 00:00:00,44,3.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,5.84778,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,72.5658,1.0,94.9294,1.0,605.819,1.0,7.5,1.0,0.0963333,1.0,15.735,1.0,0.307081,1.0
2017-04-01 01:00:00,44,3.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,13.3028,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,61.9251,1.0,94.7126,1.0,605.685,1.0,6.0,1.0,0.088,1.0,15.0507,1.0,0.52892,1.0
2017-04-01 02:00:00,44,3.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,12.8365,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,52.596,1.0,94.6435,1.0,605.094,1.0,3.0,1.0,0.088,1.0,14.7764,1.0,0.336082,1.0
2017-04-01 03:00:00,44,5.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,12.7242,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,70.7251,1.0,94.5407,1.0,604.774,1.0,0.0,1.0,0.088,1.0,14.3269,1.0,0.502424,1.0
2017-04-01 04:00:00,44,1.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,10.2286,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,69.9817,1.0,94.366,1.0,604.699,1.0,0.0,1.0,0.088,1.0,13.8756,1.0,1.11308,1.0
2017-04-01 05:00:00,44,0.0,3.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,6.6525,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,70.2446,1.0,93.127,1.0,604.746,1.0,0.0,1.0,0.088,1.0,13.8769,1.0,1.18616,1.0
2017-04-01 06:00:00,44,2.0,2.1,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,4.32694,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,68.7011,1.0,94.5443,1.0,604.904,1.0,0.0,1.0,0.546333,1.0,13.6685,1.0,0.271499,1.0
2017-04-01 07:00:00,44,17.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,3.32403,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,66.0857,1.0,94.9929,1.0,605.251,1.0,0.0,1.0,33.188,1.0,13.9465,1.0,0.229665,1.0
2017-04-01 08:00:00,44,16.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,2.69236,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,350.31,1.0,94.5624,1.0,605.749,1.0,0.0,1.0,99.3241,1.0,15.2267,1.0,0.263248,1.0
2017-04-01 09:00:00,44,16.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,7.32181,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,257.829,1.0,87.2318,1.0,605.99,1.0,0.0,1.0,333.182,1.0,17.7189,1.0,0.301249,1.0
