Fecha_Hora,codigoSerial,pm25,calidad_pm25,pm10,calidad_pm10,pm1,calidad_pm1,no,calidad_no,no2,calidad_no2,nox,calidad_nox,ozono,calidad_ozono,co,calidad_co,so2,calidad_so2,pst,calidad_pst,dviento_ssr,calidad_dviento_ssr,haire10_ssr,calidad_haire10_ssr,p_ssr,calidad_p_ssr,pliquida_ssr,calidad_pliquida_ssr,rglobal_ssr,calidad_rglobal_ssr,taire10_ssr,calidad_taire10_ssr,vviento_ssr,calidad_vviento_ssr
2020-03-01 00:00:00,6,-9999.0,1.0,55.0,1.0,-9999.0,1.0,17.1984,1.0,13.2484,1.0,30.4468,1.0,-9999.0,1.0,1.646,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0
2020-03-01 01:00:00,6,-9999.0,1.0,55.0,1.0,-9999.0,1.0,16.9754,1.0,12.3946,1.0,29.37,1.0,-9999.0,1.0,1.432,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0
2020-03-01 02:00:00,6,-9999.0,1.0,47.0,1.0,-9999.0,1.0,23.9389,1.0,13.9963,1.0,37.9352,1.0,-9999.0,1.0,1.379,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0
2020-03-01 03:00:00,6,-9999.0,1.0,58.0,1.0,-9999.0,1.0,16.0844,1.0,13.0824,1.0,29.1667,1.0,-9999.0,1.0,1.211,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0
2020-03-01 04:00:00,6,-9999.0,1.0,53.0,1.0,-9999.0,1.0,25.9267,1.0,13.5791,1.0,39.5058,1.0,-9999.0,1.0,1.167,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0
2020-03-01 05:00:00,6,-9999.0,1.0,50.0,1.0,-9999.0,1.0,16.2519,1.0,11.7438,1.0,27.9956,1.0,-9999.0,1.0,1.142,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0
2020-03-01 06:00:00,6,-9999.0,1.0,51.0,1.0,-9999.0,1.0,11.9337,2.1,11.5548,1.0,23.4886,2.1,-9999.0,1.0,1.327,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0
2020-03-01 07:00:00,6,-9999.0,1.0,48.0,1.0,-9999.0,1.0,5.8155,2.1,9.8922,1.0,15.7077,2.1,-9999.0,1.0,1.165,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0
2020-03-01 08:00:00,6,-9999.0,1.0,60.0,1.0,-9999.0,1.0,2.1888,2.1,7.4626,2.1,9.6514,2.1,-9999.0,1.0,1.31,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0
2020-03-01 09:00:00,6,-9999.0,1.0,59.0,1.0,-9999.0,1.0,1.8796,2.1,8.8796,2.1,10.7592,2.1,-9999.0,1.0,1.141,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0
