,codigoSerial,pm25,calidad_pm25,pm10,calidad_pm10,pm1,calidad_pm1,no,calidad_no,no2,calidad_no2,nox,calidad_nox,ozono,calidad_ozono,co,calidad_co,so2,calidad_so2,pst,calidad_pst,dviento_ssr,calidad_dviento_ssr,haire10_ssr,calidad_haire10_ssr,p_ssr,calidad_p_ssr,pliquida_ssr,calidad_pliquida_ssr,rglobal_ssr,calidad_rglobal_ssr,taire10_ssr,calidad_taire10_ssr,vviento_ssr,calidad_vviento_ssr
2017-08-01 00:00:00,28,21.0,1.0,-9999.0,1.0,-9999.0,1.0,-1.19542,3.0,17.0243,2.6,15.835,2.6,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,349.593,1.0,70.0286,1.0,638.243,1.0,-9999.0,1.0,0.0,1.0,19.9765,1.0,0.856642,1.0
2017-08-01 01:00:00,28,27.0,1.0,-9999.0,1.0,-9999.0,1.0,-0.529583,3.0,15.9254,2.6,15.3972,2.6,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,359.874,1.0,72.9258,1.0,637.92,1.0,-9999.0,1.0,0.0,1.0,19.3388,1.0,0.321071,1.0
2017-08-01 02:00:00,28,25.0,1.0,-9999.0,1.0,-9999.0,1.0,-1.16778,3.0,13.7212,2.6,12.5549,2.6,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,317.325,1.0,74.8686,1.0,637.648,1.0,-9999.0,1.0,0.0,1.0,18.8743,1.0,0.256644,1.0
2017-08-01 03:00:00,28,14.0,1.0,-9999.0,1.0,-9999.0,1.0,-1.74514,3.0,11.631,2.6,9.88542,2.6,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,326.194,1.0,74.2651,1.0,637.502,1.0,-9999.0,1.0,0.0,1.0,18.934,1.0,0.394952,1.0
2017-08-01 04:00:00,28,21.0,1.0,-9999.0,1.0,-9999.0,1.0,-1.58583,3.0,12.0964,2.6,10.5087,2.6,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,334.054,1.0,75.9406,1.0,637.504,1.0,-9999.0,1.0,0.0,1.0,18.7281,1.0,0.923463,1.0
2017-08-01 05:00:00,28,72.0,3.0,-9999.0,1.0,-9999.0,1.0,-0.988472,3.0,13.0806,2.6,12.1018,2.6,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,328.303,1.0,77.3919,1.0,637.654,1.0,-9999.0,1.0,0.0,1.0,18.4371,1.0,0.501065,1.0
2017-08-01 06:00:00,28,28.0,1.0,-9999.0,1.0,-9999.0,1.0,7.52333,1.0,19.0772,1.0,26.6019,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,328.309,1.0,78.7194,1.0,637.875,1.0,-9999.0,1.0,0.0277778,1.0,18.1944,1.0,0.217614,1.0
2017-08-01 07:00:00,28,46.0,1.0,-9999.0,1.0,-9999.0,1.0,44.58,1.0,18.8707,1.0,63.4494,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,244.465,1.0,77.7192,1.0,638.116,1.0,-9999.0,1.0,26.1278,1.0,18.2768,1.0,0.209447,1.0
2017-08-01 08:00:00,28,49.0,1.0,-9999.0,1.0,-9999.0,1.0,43.8879,1.0,26.4837,1.0,70.3721,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,288.195,1.0,70.6183,1.0,638.408,1.0,-9999.0,1.0,104.231,1.0,19.5747,1.0,0.272369,1.0
2017-08-01 09:00:00,28,49.0,1.0,-9999.0,1.0,-9999.0,1.0,16.4928,1.0,30.0208,1.0,46.514,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,354.953,1.0,60.6861,1.0,638.623,1.0,-9999.0,1.0,218.392,1.0,21.396,1.0,0.461811,1.0
