Fecha_Hora,codigoSerial,pm25,calidad_pm25,pm10,calidad_pm10,pm1,calidad_pm1,no,calidad_no,no2,calidad_no2,nox,calidad_nox,ozono,calidad_ozono,co,calidad_co,so2,calidad_so2,pst,calidad_pst,dviento_ssr,calidad_dviento_ssr,haire10_ssr,calidad_haire10_ssr,p_ssr,calidad_p_ssr,pliquida_ssr,calidad_pliquida_ssr,rglobal_ssr,calidad_rglobal_ssr,taire10_ssr,calidad_taire10_ssr,vviento_ssr,calidad_vviento_ssr
2020-09-01 00:00:00,28,38.0,1.0,-9999.0,1.0,-9999.0,1.0,16.9903,1.0,22.7471,1.0,39.7374,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,219.7,1.0,73.4,1.0,637.1,3.0,-9999.0,1.0,0.0,1.0,18.0,1.0,0.2,1.0
2020-09-01 01:00:00,28,36.0,1.0,-9999.0,1.0,-9999.0,1.0,21.7295,1.0,22.6275,1.0,44.357,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,285.5,1.0,71.7,1.0,637.1,3.0,-9999.0,1.0,0.0,1.0,18.5,1.0,0.1,1.0
2020-09-01 02:00:00,28,36.0,1.0,-9999.0,1.0,-9999.0,1.0,25.4731,1.0,24.7775,1.0,50.2506,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,318.3,1.0,72.1,1.0,636.6,1.0,-9999.0,1.0,0.0,1.0,18.5,1.0,0.2,1.0
2020-09-01 03:00:00,28,24.0,1.0,-9999.0,1.0,-9999.0,1.0,15.7242,1.0,20.5919,1.0,36.316,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,310.4,1.0,74.6,1.0,636.0,1.0,-9999.0,1.0,0.0,1.0,18.0,1.0,0.2,1.0
2020-09-01 04:00:00,28,44.0,1.0,-9999.0,1.0,-9999.0,1.0,15.8065,1.0,18.7038,1.0,34.5103,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,239.3,1.0,78.6,1.0,636.1,1.0,-9999.0,1.0,0.0,1.0,17.4,1.0,0.5,1.0
2020-09-01 05:00:00,28,43.0,1.0,-9999.0,1.0,-9999.0,1.0,24.85,1.0,22.2052,1.0,47.0552,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,352.7,1.0,79.7,1.0,636.1,1.0,-9999.0,1.0,0.0,1.0,17.5,1.0,0.4,1.0
2020-09-01 06:00:00,28,34.0,1.0,-9999.0,1.0,-9999.0,1.0,52.9448,1.0,24.2563,1.0,77.2012,2.3,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,141.8,1.0,81.7,1.0,636.0,1.0,-9999.0,1.0,0.0,1.0,17.6,1.0,0.2,1.0
2020-09-01 07:00:00,28,42.0,1.0,-9999.0,1.0,-9999.0,1.0,49.5318,1.0,23.5265,1.0,73.0584,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,230.7,1.0,79.1,1.0,636.2,1.0,-9999.0,1.0,11.86,1.0,18.0,1.0,1.1,1.0
2020-09-01 08:00:00,28,36.0,1.0,-9999.0,1.0,-9999.0,1.0,36.1375,1.0,22.749,1.0,58.8865,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,321.1,1.0,72.9,1.0,636.9,1.0,-9999.0,1.0,69.39,1.0,19.2,1.0,0.5,1.0
2020-09-01 09:00:00,28,38.0,1.0,-9999.0,1.0,-9999.0,1.0,34.2077,1.0,26.3054,1.0,60.5131,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,341.7,1.0,68.4,1.0,637.1,1.0,-9999.0,1.0,154.74,1.0,20.7,1.0,0.5,1.0
