,codigoSerial,pm25,calidad_pm25,pm10,calidad_pm10,pm1,calidad_pm1,no,calidad_no,no2,calidad_no2,nox,calidad_nox,ozono,calidad_ozono,co,calidad_co,so2,calidad_so2,pst,calidad_pst,dviento_ssr,calidad_dviento_ssr,haire10_ssr,calidad_haire10_ssr,p_ssr,calidad_p_ssr,pliquida_ssr,calidad_pliquida_ssr,rglobal_ssr,calidad_rglobal_ssr,taire10_ssr,calidad_taire10_ssr,vviento_ssr,calidad_vviento_ssr
2016-01-01 00:00:00,28,30.0,-1.0,-9999.0,1.0,-9999.0,1.0,1.2,-1.0,8.8,-1.0,10.1,-1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,325.359,1.0,61.2108,1.0,634.489,1.0,-9999.0,1.0,0.0,1.0,23.0679,1.0,1.98649,1.0
2016-01-01 01:00:00,28,103.0,-1.0,-9999.0,1.0,-9999.0,1.0,4.0,-1.0,17.0,-1.0,21.0,-1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,128.29,1.0,63.4697,1.0,634.118,1.0,-9999.0,1.0,0.0,1.0,22.1589,1.0,0.557384,1.0
2016-01-01 02:00:00,28,101.0,-1.0,-9999.0,1.0,-9999.0,1.0,20.0,-1.0,22.0,-1.0,41.0,-1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,172.9,1.0,65.6242,1.0,633.857,1.0,-9999.0,1.0,0.0,1.0,21.4776,1.0,0.485911,1.0
2016-01-01 03:00:00,28,101.0,-1.0,-9999.0,1.0,-9999.0,1.0,26.0,-1.0,22.0,-1.0,48.0,-1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,229.905,1.0,68.114,1.0,633.424,1.0,-9999.0,1.0,0.0,1.0,20.9882,1.0,0.351265,1.0
2016-01-01 04:00:00,28,84.0,-1.0,-9999.0,1.0,-9999.0,1.0,17.0,-1.0,20.0,-1.0,36.0,-1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,242.891,1.0,69.7515,1.0,633.41,1.0,-9999.0,1.0,0.0,1.0,20.5219,1.0,0.311613,1.0
2016-01-01 05:00:00,28,58.0,-1.0,-9999.0,1.0,-9999.0,1.0,14.0,-1.0,18.0,-1.0,31.0,-1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,165.235,1.0,68.8644,1.0,633.81,1.0,-9999.0,1.0,0.0,1.0,20.4669,1.0,0.101329,1.0
2016-01-01 06:00:00,28,43.0,-1.0,-9999.0,1.0,-9999.0,1.0,13.0,-1.0,16.0,-1.0,28.0,-1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,165.768,1.0,68.3682,1.0,634.209,1.0,-9999.0,1.0,0.0,1.0,20.4293,1.0,0.225521,1.0
2016-01-01 07:00:00,28,48.0,-1.0,-9999.0,1.0,-9999.0,1.0,9.0,-1.0,13.0,-1.0,22.0,-1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,226.231,1.0,69.9304,1.0,634.56,1.0,-9999.0,1.0,7.98333,1.0,20.1271,1.0,0.158556,1.0
2016-01-01 08:00:00,28,48.0,-1.0,-9999.0,1.0,-9999.0,1.0,10.0,-1.0,17.0,-1.0,27.0,-1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,341.772,1.0,65.2764,1.0,635.062,1.0,-9999.0,1.0,53.1333,1.0,21.3747,1.0,0.271824,1.0
2016-01-01 09:00:00,28,42.0,-1.0,-9999.0,1.0,-9999.0,1.0,4.0,-1.0,14.0,-1.0,17.0,-1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,347.923,1.0,60.7942,1.0,635.539,1.0,-9999.0,1.0,171.972,1.0,22.4514,1.0,0.517576,1.0
2016-01-01 10:00:00,28,21.0,-1.0,-9999.0,1.0,-9999.0,1.0,2.0,-1.0,5.0,-1.0,7.0,-1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,349.858,1.0,54.7414,1.0,635.647,1.0,-9999.0,1.0,331.314,1.0,23.8857,1.0,1.12841,1.0
2016-01-01 11:00:00,28,15.0,-1.0,-9999.0,1.0,-9999.0,1.0,1.0,-1.0,3.0,-1.0,3.0,-1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,323.007,1.0,47.5114,1.0,635.297,1.0,-9999.0,1.0,544.278,1.0,26.0633,1.0,1.06265,1.0
2016-01-01 12:00:00,28,17.0,-1.0,-9999.0,1.0,-9999.0,1.0,0.0,-1.0,3.0,-1.0,3.0,-1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,332.408,1.0,41.9922,1.0,634.691,1.0,-9999.0,1.0,601.514,1.0,27.7612,1.0,0.738102,1.0
2016-01-01 13:00:00,28,17.0,-1.0,-9999.0,1.0,-9999.0,1.0,0.0,-1.0,2.0,-1.0,2.0,-1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,263.927,1.0,37.8768,1.0,633.914,1.0,-9999.0,1.0,474.383,1.0,28.8793,1.0,0.188889,1.0
2016-01-01 14:00:00,28,29.0,-1.0,-9999.0,1.0,-9999.0,1.0,0.0,-1.0,4.0,-1.0,5.0,-1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,217.092,1.0,48.4212,1.0,633.603,1.0,-9999.0,1.0,75.95,1.0,26.7067,1.0,1.28904,1.0
