,codigoSerial,pm25,calidad_pm25,pm10,calidad_pm10,pm1,calidad_pm1,no,calidad_no,no2,calidad_no2,nox,calidad_nox,ozono,calidad_ozono,co,calidad_co,so2,calidad_so2,pst,calidad_pst,dviento_ssr,calidad_dviento_ssr,haire10_ssr,calidad_haire10_ssr,p_ssr,calidad_p_ssr,pliquida_ssr,calidad_pliquida_ssr,rglobal_ssr,calidad_rglobal_ssr,taire10_ssr,calidad_taire10_ssr,vviento_ssr,calidad_vviento_ssr
2017-11-01 00:00:00,28,15.0,1.0,-9999.0,1.0,-9999.0,1.0,11.9006,1.0,19.3563,1.0,31.254,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,118.475,1.0,86.6731,1.0,636.75,1.0,-9999.0,1.0,0.0,1.0,18.4425,1.0,0.228147,1.0
2017-11-01 01:00:00,28,17.0,1.0,-9999.0,1.0,-9999.0,1.0,7.30417,1.0,17.9529,1.0,25.2542,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,99.2302,1.0,88.1915,1.0,636.281,1.0,-9999.0,1.0,0.0,1.0,17.9107,1.0,0.271797,1.0
2017-11-01 02:00:00,28,19.0,1.0,-9999.0,1.0,-9999.0,1.0,12.0661,1.0,19.61,1.0,31.6819,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,138.63,1.0,86.6249,1.0,635.382,1.0,-9999.0,1.0,0.0,1.0,18.1208,1.0,0.0276149,1.0
2017-11-01 03:00:00,28,10.0,1.0,-9999.0,1.0,-9999.0,1.0,11.1261,1.0,15.3215,1.0,26.4517,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,162.429,1.0,84.229,1.0,635.15,1.0,-9999.0,1.0,0.0,1.0,18.1925,1.0,0.3332,1.0
2017-11-01 04:00:00,28,24.0,1.0,-9999.0,1.0,-9999.0,1.0,19.2785,1.0,15.5871,1.0,34.8685,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,154.41,1.0,84.5969,1.0,635.069,1.0,-9999.0,1.0,0.0,1.0,18.101,1.0,0.185481,1.0
2017-11-01 05:00:00,28,19.0,1.0,-9999.0,1.0,-9999.0,1.0,16.9643,1.0,13.2233,1.0,30.1822,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,194.536,1.0,83.2031,1.0,635.352,1.0,-9999.0,1.0,0.0,1.0,17.8446,1.0,0.371934,1.0
2017-11-01 06:00:00,28,28.0,1.0,-9999.0,1.0,-9999.0,1.0,47.3321,2.2,15.4511,1.0,62.7849,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,131.6,1.0,82.7122,1.0,635.618,1.0,-9999.0,1.0,0.280555,1.0,17.9675,1.0,0.304997,1.0
2017-11-01 07:00:00,28,43.0,1.0,-9999.0,1.0,-9999.0,1.0,69.4613,2.2,16.5006,1.0,85.9576,2.2,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,235.15,1.0,82.2447,1.0,636.228,1.0,-9999.0,1.0,26.0361,1.0,18.0362,1.0,0.345018,1.0
2017-11-01 08:00:00,28,36.0,1.0,-9999.0,1.0,-9999.0,1.0,68.9567,2.2,23.8331,1.0,92.7818,2.2,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,297.369,1.0,70.384,1.0,636.41,1.0,-9999.0,1.0,218.969,1.0,21.0308,1.0,0.0483514,1.0
2017-11-01 09:00:00,28,49.0,2.2,-9999.0,1.0,-9999.0,1.0,51.2104,2.2,46.3061,2.2,97.5265,2.2,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,121.28,1.0,67.0724,1.0,636.75,1.0,-9999.0,1.0,406.503,1.0,21.8971,1.0,0.987701,1.0
2017-11-01 10:00:00,28,46.0,1.0,-9999.0,1.0,-9999.0,1.0,13.7132,1.0,37.5945,2.2,51.1821,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,9.38907,1.0,59.8246,1.0,636.751,1.0,-9999.0,1.0,472.494,1.0,23.2068,1.0,0.511654,1.0
2017-11-01 11:00:00,28,16.0,1.0,-9999.0,1.0,-9999.0,1.0,4.63125,1.0,15.4221,1.0,20.0637,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,347.87,1.0,49.6539,1.0,636.322,1.0,-9999.0,1.0,588.264,1.0,24.9804,1.0,0.378356,1.0
2017-11-01 12:00:00,28,-9999.0,4.31,-9999.0,1.0,-9999.0,1.0,5.74153,1.0,22.9958,1.0,28.7329,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,324.514,1.0,49.1128,1.0,635.56,1.0,-9999.0,1.0,506.394,1.0,25.5039,1.0,0.995387,1.0
2017-11-01 13:00:00,28,17.0,1.0,-9999.0,1.0,-9999.0,1.0,3.35931,1.0,20.3667,1.0,23.7274,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,331.741,1.0,47.1335,1.0,634.877,1.0,-9999.0,1.0,406.65,1.0,26.1072,1.0,0.752206,1.0
2017-11-01 14:00:00,28,13.0,1.0,-9999.0,1.0,-9999.0,1.0,5.515,1.0,22.584,1.0,28.0967,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,334.741,1.0,45.2476,1.0,634.016,1.0,-9999.0,1.0,606.581,1.0,26.7289,1.0,1.59541,1.0
2017-11-01 15:00:00,28,12.0,1.0,-9999.0,1.0,-9999.0,1.0,5.43305,1.0,17.6708,1.0,23.1058,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,328.083,1.0,43.7667,1.0,633.248,1.0,-9999.0,1.0,402.964,1.0,27.0604,1.0,1.81047,1.0
2017-11-01 16:00:00,28,7.0,1.0,-9999.0,1.0,-9999.0,1.0,6.01708,1.0,13.2961,1.0,19.3118,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,311.381,1.0,42.3982,1.0,632.816,1.0,-9999.0,1.0,288.3,1.0,26.9504,1.0,3.08591,1.0
2017-11-01 17:00:00,28,7.0,1.0,-9999.0,1.0,-9999.0,1.0,11.5549,1.0,17.7736,1.0,29.3326,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,316.047,1.0,46.577,1.0,632.858,1.0,-9999.0,1.0,73.4583,1.0,25.5668,1.0,2.91243,1.0
2017-11-01 18:00:00,28,12.0,1.0,-9999.0,1.0,-9999.0,1.0,8.54444,1.0,15.3978,1.0,23.9476,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,309.17,1.0,54.3051,1.0,633.408,1.0,-9999.0,1.0,12.8028,1.0,24.0461,1.0,3.55886,1.0
2017-11-01 19:00:00,28,12.0,1.0,-9999.0,1.0,-9999.0,1.0,11.8958,1.0,19.764,1.0,31.6605,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,320.459,1.0,62.0214,1.0,633.946,1.0,-9999.0,1.0,0.0,1.0,22.9555,1.0,2.73949,1.0
2017-11-01 20:00:00,28,7.0,1.0,-9999.0,1.0,-9999.0,1.0,11.1982,1.0,19.0161,1.0,30.2107,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,313.989,1.0,66.7022,1.0,634.84,1.0,-9999.0,1.0,0.0,1.0,22.1276,1.0,1.51921,1.0
2017-11-01 21:00:00,28,9.0,1.0,-9999.0,1.0,-9999.0,1.0,16.1028,1.0,21.2381,1.0,37.3301,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,7.60881,1.0,70.7418,1.0,635.446,1.0,-9999.0,1.0,0.0,1.0,21.527,1.0,0.389796,1.0
