Fecha_Hora,codigoSerial,pm25,calidad_pm25,pm10,calidad_pm10,pm1,calidad_pm1,no,calidad_no,no2,calidad_no2,nox,calidad_nox,ozono,calidad_ozono,co,calidad_co,so2,calidad_so2,pst,calidad_pst,dviento_ssr,calidad_dviento_ssr,haire10_ssr,calidad_haire10_ssr,p_ssr,calidad_p_ssr,pliquida_ssr,calidad_pliquida_ssr,rglobal_ssr,calidad_rglobal_ssr,taire10_ssr,calidad_taire10_ssr,vviento_ssr,calidad_vviento_ssr
2019-05-01 00:00:00,25,21.0,1.0,-9999.0,1.0,-9999.0,1.0,23.3621,1.0,16.9779,1.0,40.34,1.0,7.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,16.5427,1.0,72.9779,1.0,640.931,1.0,0.0,1.0,0.0,1.0,21.7453,1.0,1.93051,1.0
2019-05-01 01:00:00,25,21.0,1.0,-9999.0,1.0,-9999.0,1.0,17.8575,1.0,20.8022,1.0,38.6568,1.0,7.40347,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,21.802,1.0,73.939,1.0,640.778,1.0,0.0,1.0,0.0,1.0,21.4394,1.0,1.68068,1.0
2019-05-01 02:00:00,25,22.0,1.0,-9999.0,1.0,-9999.0,1.0,16.7996,1.0,19.9175,1.0,36.7154,1.0,7.82736,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,63.2701,1.0,73.6681,1.0,640.363,1.0,0.0,1.0,0.0,1.0,21.1846,1.0,1.08073,1.0
2019-05-01 03:00:00,25,24.0,1.0,-9999.0,1.0,-9999.0,1.0,21.1029,1.0,19.7157,1.0,40.8213,1.0,2.05347,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,285.959,1.0,79.0535,1.0,640.158,1.0,0.0,1.0,0.0,1.0,19.8256,1.0,0.217949,1.0
2019-05-01 04:00:00,25,22.0,1.0,-9999.0,1.0,-9999.0,1.0,24.28,1.0,11.725,1.0,36.0085,1.0,2.15125,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,259.884,1.0,82.221,1.0,640.194,1.0,0.0,1.0,0.0,1.0,18.5754,1.0,0.433656,1.0
2019-05-01 05:00:00,25,18.0,1.0,-9999.0,1.0,-9999.0,1.0,28.8492,1.0,14.8907,1.0,43.7399,1.0,1.3,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,279.348,1.0,82.9933,1.0,640.318,1.0,0.0,1.0,0.0,1.0,18.1543,1.0,0.347635,1.0
2019-05-01 06:00:00,25,19.0,1.0,-9999.0,1.0,-9999.0,1.0,40.4867,1.0,12.4823,1.0,52.969,1.0,1.2,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,259.796,1.0,84.8215,1.0,640.782,1.0,0.0,1.0,0.281667,1.0,17.7729,1.0,0.532459,1.0
2019-05-01 07:00:00,25,21.0,1.0,-9999.0,1.0,-9999.0,1.0,54.1942,1.0,7.1414,1.0,61.3357,1.0,1.7,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,260.795,1.0,84.1079,1.0,640.962,1.0,0.0,1.0,41.1631,1.0,17.8708,1.0,0.288057,1.0
2019-05-01 08:00:00,25,27.0,1.0,-9999.0,1.0,-9999.0,1.0,72.382,1.0,5.7049,1.0,78.0869,1.0,7.5,2.1,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,77.0493,1.0,68.5918,1.0,641.278,1.0,0.0,1.0,276.506,1.0,21.9558,1.0,1.07388,1.0
2019-05-01 09:00:00,25,15.0,1.0,-9999.0,1.0,-9999.0,1.0,39.5656,1.0,4.0512,2.1,43.6168,1.0,17.9,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,51.8648,1.0,56.9844,1.0,641.32,1.0,0.0,1.0,501.182,1.0,24.1597,1.0,2.14902,1.0
2019-05-01 10:00:00,25,17.0,1.0,-9999.0,1.0,-9999.0,1.0,23.966,2.6,-1.6044,3.0,22.3616,2.6,32.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,44.7138,1.0,45.6018,1.0,641.179,1.0,0.0,1.0,670.323,1.0,26.4749,1.0,1.97775,1.0
