Fecha_Hora,codigoSerial,pm25,calidad_pm25,pm10,calidad_pm10,pm1,calidad_pm1,no,calidad_no,no2,calidad_no2,nox,calidad_nox,ozono,calidad_ozono,co,calidad_co,so2,calidad_so2,pst,calidad_pst,dviento_ssr,calidad_dviento_ssr,haire10_ssr,calidad_haire10_ssr,p_ssr,calidad_p_ssr,pliquida_ssr,calidad_pliquida_ssr,rglobal_ssr,calidad_rglobal_ssr,taire10_ssr,calidad_taire10_ssr,vviento_ssr,calidad_vviento_ssr
2020-12-01 00:00:00,28,47.0,1.0,-9999.0,1.0,-9999.0,1.0,54.0756,1.0,10.3105,1.0,64.3861,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,198.2,1.0,80.6,1.0,636.0,1.0,-9999.0,1.0,0.0,1.0,18.0,1.0,0.4,1.0
2020-12-01 01:00:00,28,72.0,2.3,-9999.0,1.0,-9999.0,1.0,27.2269,1.0,9.5321,1.0,36.759,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,174.1,1.0,77.3,1.0,636.1,1.0,-9999.0,1.0,0.0,1.0,18.1,1.0,0.5,1.0
2020-12-01 02:00:00,28,40.0,1.0,-9999.0,1.0,-9999.0,1.0,35.0571,1.0,8.9998,1.0,44.0569,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,219.9,1.0,80.3,1.0,635.7,1.0,-9999.0,1.0,0.0,1.0,17.6,1.0,0.2,1.0
2020-12-01 03:00:00,28,59.0,1.0,-9999.0,1.0,-9999.0,1.0,40.53,1.0,9.5051,1.0,50.0351,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,170.6,1.0,83.3,1.0,635.3,1.0,-9999.0,1.0,0.0,1.0,17.6,3.0,0.1,1.0
2020-12-01 04:00:00,28,32.0,1.0,-9999.0,1.0,-9999.0,1.0,25.9321,1.0,8.7872,1.0,34.7193,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,188.4,1.0,82.9,1.0,634.9,1.0,-9999.0,1.0,0.0,1.0,17.6,3.0,0.4,1.0
2020-12-01 05:00:00,28,40.0,1.0,-9999.0,1.0,-9999.0,1.0,34.1358,1.0,10.7893,1.0,44.9251,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,272.9,1.0,82.4,1.0,635.4,1.0,-9999.0,1.0,0.0,1.0,17.8,1.0,0.2,1.0
2020-12-01 06:00:00,28,47.0,2.3,-9999.0,1.0,-9999.0,1.0,58.453,2.3,11.9646,1.0,70.4176,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,122.8,1.0,81.9,1.0,635.8,1.0,-9999.0,1.0,0.06,1.0,18.1,1.0,0.0,1.0
2020-12-01 07:00:00,28,61.0,2.3,-9999.0,1.0,-9999.0,1.0,83.2746,1.0,12.6029,1.0,95.8775,2.3,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,166.1,1.0,82.0,1.0,636.2,1.0,-9999.0,1.0,14.98,1.0,18.3,1.0,0.1,1.0
2020-12-01 08:00:00,28,41.0,1.0,-9999.0,1.0,-9999.0,1.0,65.6281,1.0,18.5348,1.0,84.1629,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,118.4,1.0,77.4,1.0,636.7,1.0,-9999.0,1.0,52.72,1.0,19.1,1.0,0.2,1.0
2020-12-01 09:00:00,28,60.0,2.3,-9999.0,1.0,-9999.0,1.0,53.8998,1.0,27.5639,1.0,81.4637,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,270.5,1.0,70.4,1.0,637.2,1.0,-9999.0,1.0,145.24,1.0,20.8,1.0,0.2,1.0
