,codigoSerial,pm25,calidad_pm25,pm10,calidad_pm10,pm1,calidad_pm1,no,calidad_no,no2,calidad_no2,nox,calidad_nox,ozono,calidad_ozono,co,calidad_co,so2,calidad_so2,pst,calidad_pst,dviento_ssr,calidad_dviento_ssr,haire10_ssr,calidad_haire10_ssr,p_ssr,calidad_p_ssr,pliquida_ssr,calidad_pliquida_ssr,rglobal_ssr,calidad_rglobal_ssr,taire10_ssr,calidad_taire10_ssr,vviento_ssr,calidad_vviento_ssr
2018-02-01 00:00:00,44,13.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,2.38611,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,94.1177,1.0,88.0028,1.0,603.526,1.0,0.0,1.0,0.088,1.0,16.2174,1.0,0.326499,1.0
2018-02-01 01:00:00,44,18.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,2.99014,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,99.8451,1.0,89.7822,1.0,603.311,1.0,0.0,1.0,0.088,1.0,16.3972,1.0,0.65975,1.0
2018-02-01 02:00:00,44,21.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,4.08583,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,95.8699,1.0,89.735,1.0,602.855,1.0,0.0,1.0,0.088,1.0,15.8468,1.0,0.202665,1.0
2018-02-01 03:00:00,44,11.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,3.09847,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,97.7805,1.0,90.4117,1.0,602.683,1.0,0.0,1.0,0.088,1.0,15.6619,1.0,0.201415,1.0
2018-02-01 04:00:00,44,19.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,2.91292,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,86.0867,1.0,91.015,1.0,602.524,1.0,0.0,1.0,0.088,1.0,15.6894,1.0,0.200915,1.0
2018-02-01 05:00:00,44,24.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,1.62569,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,99.6295,1.0,91.1367,1.0,602.692,1.0,0.0,1.0,0.088,1.0,16.1267,1.0,0.235915,1.0
2018-02-01 06:00:00,44,29.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,1.45958,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,88.4447,1.0,91.5779,1.0,602.605,1.0,0.0,1.0,0.088,1.0,15.9604,1.0,0.274415,1.0
2018-02-01 07:00:00,44,44.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,1.69722,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,248.541,1.0,92.2911,1.0,603.118,1.0,0.0,1.0,15.8741,1.0,16.4268,1.0,0.218498,1.0
2018-02-01 08:00:00,44,39.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,2.79653,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,56.9767,1.0,90.2846,1.0,604.087,1.0,0.0,1.0,64.8713,1.0,16.985,1.0,0.236331,1.0
2018-02-01 09:00:00,44,36.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,3.83847,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,300.607,1.0,85.9236,1.0,604.072,1.0,0.0,1.0,134.477,1.0,17.8194,1.0,0.376,1.0
2018-02-01 10:00:00,44,43.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,7.21875,2.1,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,272.565,1.0,82.0071,1.0,604.158,1.0,0.0,1.0,295.216,1.0,18.6942,1.0,0.970419,1.0
2018-02-01 11:00:00,44,35.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,16.6615,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,270.04,1.0,73.2025,1.0,604.141,1.0,0.0,1.0,410.921,1.0,20.4868,1.0,0.960086,1.0
2018-02-01 12:00:00,44,22.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,21.7625,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,278.713,1.0,67.0732,1.0,603.735,1.0,0.0,1.0,352.796,1.0,21.2875,1.0,1.49067,1.0
2018-02-01 13:00:00,44,23.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,26.81,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,272.156,1.0,62.8815,1.0,603.3,1.0,0.0,1.0,306.194,1.0,22.0404,1.0,0.423752,1.0
2018-02-01 14:00:00,44,24.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,29.0428,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,288.837,1.0,58.4839,1.0,602.774,1.0,0.0,1.0,379.716,1.0,23.1193,1.0,0.742671,1.0
2018-02-01 15:00:00,44,12.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,21.5193,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,285.367,1.0,52.4517,1.0,602.139,1.0,0.0,1.0,433.882,1.0,24.004,1.0,1.23858,1.0
2018-02-01 16:00:00,44,22.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,28.1754,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,279.045,1.0,50.7879,1.0,601.689,1.0,0.0,1.0,402.144,1.0,24.651,1.0,2.43,1.0
2018-02-01 17:00:00,44,17.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,24.3222,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,276.914,1.0,48.6197,1.0,601.547,1.0,0.0,1.0,325.282,1.0,25.2874,1.0,1.9315,1.0
2018-02-01 18:00:00,44,19.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,18.4872,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,235.285,1.0,54.1947,1.0,601.793,1.0,0.0,1.0,110.135,1.0,24.0819,1.0,0.945836,1.0
2018-02-01 19:00:00,44,17.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,11.8453,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,107.772,1.0,68.0661,1.0,602.199,1.0,0.0,1.0,1.29356,1.0,20.7786,1.0,1.22383,1.0
2018-02-01 20:00:00,44,19.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,8.735,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,110.876,1.0,74.8112,1.0,602.907,1.0,0.0,1.0,0.088,1.0,19.4237,1.0,0.408249,1.0
2018-02-01 21:00:00,44,22.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,3.03583,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,105.342,1.0,80.6093,1.0,603.529,1.0,0.0,1.0,0.088,1.0,18.3922,1.0,0.213915,1.0
2018-02-01 22:00:00,44,17.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,2.27236,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,107.105,1.0,82.3006,1.0,603.889,1.0,0.0,1.0,0.088,1.0,17.6894,1.0,0.352748,1.0
