Fecha_Hora,codigoSerial,pm25,calidad_pm25,pm10,calidad_pm10,pm1,calidad_pm1,no,calidad_no,no2,calidad_no2,nox,calidad_nox,ozono,calidad_ozono,co,calidad_co,so2,calidad_so2,pst,calidad_pst,dviento_ssr,calidad_dviento_ssr,haire10_ssr,calidad_haire10_ssr,p_ssr,calidad_p_ssr,pliquida_ssr,calidad_pliquida_ssr,rglobal_ssr,calidad_rglobal_ssr,taire10_ssr,calidad_taire10_ssr,vviento_ssr,calidad_vviento_ssr
2020-11-01 00:00:00,6,-9999.0,1.0,22.0,1.0,-9999.0,1.0,26.6568,1.0,10.8289,1.0,37.4857,1.0,-9999.0,1.0,1.732,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0
2020-11-01 01:00:00,6,-9999.0,1.0,18.0,1.0,-9999.0,1.0,18.2041,1.0,11.6383,1.0,29.8424,1.0,-9999.0,1.0,1.091,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0
2020-11-01 02:00:00,6,-9999.0,1.0,12.0,1.0,-9999.0,1.0,17.8423,1.0,10.7969,1.0,28.6393,1.0,-9999.0,1.0,0.9082,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0
2020-11-01 03:00:00,6,-9999.0,1.0,15.0,1.0,-9999.0,1.0,27.3532,1.0,9.8867,1.0,37.2399,1.0,-9999.0,1.0,0.7905,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0
2020-11-01 04:00:00,6,-9999.0,1.0,1.0,2.1,-9999.0,1.0,26.9138,1.0,10.3391,1.0,37.2529,1.0,-9999.0,1.0,0.7562,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0
2020-11-01 05:00:00,6,-9999.0,1.0,18.0,1.0,-9999.0,1.0,17.9557,1.0,8.8017,1.0,26.7574,1.0,-9999.0,1.0,0.754,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0
2020-11-01 06:00:00,6,-9999.0,1.0,10.0,1.0,-9999.0,1.0,32.0382,1.0,10.7806,1.0,42.8188,1.0,-9999.0,1.0,0.6744,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0
2020-11-01 07:00:00,6,-9999.0,1.0,10.0,1.0,-9999.0,1.0,36.1773,1.0,10.3247,1.0,46.502,1.0,-9999.0,1.0,0.8757,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0
2020-11-01 08:00:00,6,-9999.0,1.0,10.0,1.0,-9999.0,1.0,28.9994,1.0,7.7694,2.1,36.7689,1.0,-9999.0,1.0,1.029,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0
2020-11-01 09:00:00,6,-9999.0,1.0,19.0,1.0,-9999.0,1.0,40.7143,1.0,8.3153,1.0,49.0296,1.0,-9999.0,1.0,0.8973,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0
2020-11-01 10:00:00,6,-9999.0,1.0,14.0,1.0,-9999.0,1.0,14.0147,1.9,7.49,1.9,21.5047,1.9,-9999.0,1.0,1.12,1.9,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0
2020-11-01 11:00:00,6,-9999.0,1.0,13.0,1.0,-9999.0,1.0,9.1362,1.0,7.089,1.0,16.2253,1.0,-9999.0,1.0,0.7211,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0
2020-11-01 12:00:00,6,-9999.0,1.0,23.0,1.0,-9999.0,1.0,9.9908,1.0,7.4317,1.0,17.4226,1.0,-9999.0,1.0,0.6987,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0
2020-11-01 13:00:00,6,-9999.0,1.0,25.0,1.0,-9999.0,1.0,20.7886,1.0,11.7792,1.0,32.5678,1.0,-9999.0,1.0,0.7169,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0
2020-11-01 14:00:00,6,-9999.0,1.0,25.0,1.0,-9999.0,1.0,16.4849,1.0,9.1797,1.0,25.6646,1.0,-9999.0,1.0,0.914,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0
2020-11-01 15:00:00,6,-9999.0,1.0,8.0,1.0,-9999.0,1.0,19.3376,1.0,9.3492,1.0,28.6868,1.0,-9999.0,1.0,0.8789,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0
2020-11-01 16:00:00,6,-9999.0,1.0,0.0,2.1,-9999.0,1.0,44.4139,1.0,14.077,1.0,58.4909,1.0,-9999.0,1.0,1.032,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0
2020-11-01 17:00:00,6,-9999.0,1.0,-5.0,3.0,-9999.0,1.0,32.7954,1.9,15.4817,1.9,48.2771,1.9,-9999.0,1.0,1.693,1.9,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0
2020-11-01 18:00:00,6,-9999.0,1.0,16.0,1.0,-9999.0,1.0,31.8556,1.9,16.3507,1.9,48.2063,1.9,-9999.0,1.0,1.511,1.9,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0
2020-11-01 19:00:00,6,-9999.0,1.0,41.0,2.2,-9999.0,1.0,38.2687,1.9,13.9074,1.9,52.1761,1.9,-9999.0,1.0,1.556,1.9,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0
2020-11-01 20:00:00,6,-9999.0,1.0,16.0,1.0,-9999.0,1.0,45.2265,1.9,16.2497,1.9,61.4762,1.9,-9999.0,1.0,1.5,1.9,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0
2020-11-01 21:00:00,6,-9999.0,1.0,21.0,1.0,-9999.0,1.0,58.8516,1.9,15.5518,1.9,74.4035,1.9,-9999.0,1.0,1.764,1.9,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0
